id,en,fr,es,de,it,pt_BR,pt_PT,ru_RU,el,tr,da,nn,sv,nl,pl,fi,ja,zh_CN,zh_TW,ko,cs,hu,ro,th,bg,he,ar,bs_BA
MENU_CONTROLS_GAMEPAD_BUTTON_2,Gamepad button 2,Bouton de manette 2,,Gamepad 2,,Botão 2 do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_3,Gamepad button 3,Bouton de manette 3,,Gamepad 3,,Botão 3 do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_4,Gamepad button 4,Bouton de manette 4,,Gamepad 4,,Botão 4 do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_A,Gamepad button A,Bouton de manette A,,Gamepad A,,Botão A do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_B,Gamepad button B,Bouton de manette B,,Gamepad B,,Botão B do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_CIRCLE,Gamepad button Circle,Bouton de manette rond,,Gamepad Kreis,,Botão Circulo do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_CROSS,Gamepad button Cross,Bouton de manette croix,,Gamepad Kreuz,,Botão Cruz do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_SQUARE,Gamepad button Square,Bouton de manette carré,,Gamepad Box,,Botão Quadrado do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_TRIANGLE,Gamepad button Triangle,Bouton de manette triangle,,Gamepad Dreieck,,Botão Triangulo do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_X,Gamepad button X,Bouton de manette X,,Gamepad X,,Botão X do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_Y,Gamepad button Y,Bouton de manette Y,,Gamepad Y,,Botão Y do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_SELECT,Gamepad Select,Bouton de manette Select,,Gamepad Select,,Controle Selecionar,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_START,Gamepad Start,Bouton de manette Start,,Gamepad Start,,Controle Começar,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_MOUSE,Mouse,Souris,Ratón,Maus,Mouse,Mouse,Rato,Мышь,Ποντίκι,Fare,Mus,Mus,Mus,Muis,Mysz,Hiiri,マウス,鼠标,鼠標,마우스,Myš,Egér,Mouse,เมาส์,Мишка,עכבר,الفأرة,Miš
MENU_CONTROLS_MOUSE_BUTTON,Mouse button,Bouton de souris,,Maustaste,,Botão 1 do mouse,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_MOUSE_BUTTON_LEFT,Left mouse button,Bouton gauche de souris,,Linke Maustaste,,Botão esquerdo do mouse,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_MOUSE_BUTTON_MIDDLE,Middle mouse button,Bouton troisième de souris,,Mittlere Maustaste,,Botão do meio do mouse,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_MOUSE_BUTTON_RIGHT,Right mouse button,Bouton droite de souris,,Rechte Maustaste,,Botão direito do mouse,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_MOUSE_WHEEL_DOWN,Button wheel down,Roulette de défilement en bas,,Mausrad runter,,Botão de rolagem abaixo,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_MOUSE_WHEEL_LEFT,Button wheel left,Roulette de défilement à gauche,,Mausrad links,,Botão de rolagem esquerda,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_MOUSE_WHEEL_RIGHT,Button wheel right,Roulette de défilement à droite,,Mausrad rechts,,Botão de rolagem direita,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_MOUSE_WHEEL_UP,Button wheel up,Roulette de défilement haut,,Mausrad hoch,,Botão de rolagem acima,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_TRIGGER_LEFT,Left Trigger,Bouton de tranche gauche,,Linke Schultertaste,,Gatilho Esquerdo,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_TRIGGER_LEFT_2,Left Trigger 2,Bouton de tranche gauche 2,,Linke Schultertaste 2,,Gatilho Esquerdo 2,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_TRIGGER_LEFT_3,Left Trigger 3,Bouton de tranche gauche 3,,Linke Schultertaste 3,,Gatilho Esquerdo 3,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_TRIGGER_RIGHT,Right Trigger,Bouton de tranche droite,,Rechte Schultertaste,,Gatilho Direito,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_TRIGGER_RIGHT_2,Right Trigger 2,Bouton de tranche droite 2,,Rechte Schultertaste 2,,Gatilho Direito 2,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_TRIGGER_RIGHT_3,Right Trigger 3,Bouton de tranche droite 3,,Rechte Schultertaste 3,,Gatilho Direito 3,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_ACTION_NUM,Action %d,Action %d,,Aktion %d,,Ação %d,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_DIR_DOWN,Down,Bas,Abajo,Unten,Giù,Abaixo,Baixo,Вниз,Κάτω,Aşağı,Ned,Ned,Ner,Omlaag,Dół,Alas,下,下,下,아래,Dolů,Le,Jos,ล่าง,Надолу,למטה,تحت,Dole
MENU_CONTROLS_DIR_LEFT,Left,Gauche,Izquierda,Links,Sinistra,Esquerda,Esquerda,Влево,Αριστερά,Sol,Venstre,Venstre,Vänster,Links,Lewo,Vasen,左,左,左,왼쪽,vlevo,Bal,Stânga,ซ้าย,Наляво,שמאלה,يسار,Lijevo
MENU_CONTROLS_DIR_RIGHT,Right,Droite,Derecha,Rechts,Destra,Direita,Direita,Вправо,Δεξί,Sağ,Højre,Høyre,Höger,Rechts,Prawo,Oikea,右,右,右,오른쪽,vpravo,Jobb,Dreapta,ขวา,Надясно,ימינה,يمين,Desno
MENU_CONTROLS_DIR_UP,Up,Haut,Arriba,Oben,Su,Acima,Cima,Вверх,Πάνω,Yukarı,Op,Opp,Upp,Omhoog,Góra,Ylös,上,上,上,위,Nahoru,Fel,Sus,บน,Нагоре,למעלה,فوق,Gore
MENU_IO_ENTER_SAVEGAME_NAME,Enter savegame name:,Dicte le nom du partie sauvgarder:,,Spielstand Name:,,Insira o nome do jogo á salvar:,,,,,,,,,,,,,,,,,,,,,,
MENU_IO_LOAD_GAME,Load Game,Charger partie,Cargar juego,Spiel laden,Carica partita,Carregar Jogo,Carregar Jogo,Загрузить игру,Άνοιγμα παιχνιδιού,Oyunu Yükle,Indlæs Spil,Laste Opp Spill,Ladda spel,Spel laden,Wczytaj Grę,Lataa peli,ゲームデータをロード,载入游戏,載入游戲,게임 불러오기,Načíst hru,Játék betöltése,Încarcă Jocul,โหลดเกม,Зареждане на игра,טען משחק שמור,تحميل لعبة محفوظة,Učitavanje Igre
MENU_IO_SAVE,Save,Sauvegarder,Guardar,Speichern,Salva,Salvar,Guardar,Сохранить,Αποθήκευσε,Kaydet,Gem,Lagre,Spara,Opslaan,Zapisz,Tallenna,セーブ,保存,保存,저장,Uložit,Mentés,Salvează,บันทึก,Записване,שמור,حفظ,Spremiti
MENU_IO_SAVE_GAME,Save Game,Sauvegarder partie,Guardar juego,Spiel speichern,Salva partita,Salvar Jogo,Guardar Jogo,Сохранить игру,Αποθήκευσε παιχνίδι,Oyunu Kaydet,Gem Spil,Lagre Spill,Spara spel,Spel opslaan,Zapisz Grę,Tallenna peli,ゲームデータをセーブ,保存游戏,保存游戏,게임 저장,Uložit hru,Játék mentése,Salvează Jocul,บันทึกเกม,Записване на играта,שמור משחק,حفظ اللعبة,Spremiti Igru
MENU_LABEL_BACK,Back,Retour,Volver,Zurück,Indietro,Voltar,Atrás,Назад,Επιστροφή,Geri,Tilbage,Tilbake,Tillbaka,Terug,Wstecz,Takaisin,戻る,返回,返回,뒤로,Zpět,Vissza,Înapoi,กลับ,Назад,חזרה,الرجوع,Nazad
MENU_LABEL_CANCEL,Cancel,Annuler,Cancelar,Abbrechen,Cancella,Cancelar,Cancelar,Отмена,Ακύρωση,İptal,Annuler,Avbryte,Avbryt,Annuleren,Anuluj,Peruuta,キャンセル,取消,取消,취소,Storno,Mégse,Anulare,ยกเลิก,Отмяма,ביטול,إلغاء,Otkazati
MENU_LABEL_CHARACTER,Character:,Caractère:,,Charakter:,,Personagem,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_CONTINUE,Continue,Continuer,Continuar,Fortsetzen,Continua,Continuar,Continuar,Продолжить игру,Συνέχεια,Devam Et,Fortsæt,Gå videre,Fortsätt,Doorgaan,Kontynuuj,Jatka,続ける,继续,繼續,계속,Pokračovat,Folytatás,Continuă,เล่นต่อ,Продължаване,המשך,متابعة,Nastaviti
MENU_LABEL_DESCRIPTION,Description,Description,,Beschreibung,,Descrição,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_DESKTOP,Exit to Desktop,Retourner sur le bureau,Salir al escritorio,Zurück zum Desktop,Torna al desktop,Sair para a Área de Trab.,Sair para o ambiente de trabalho,Выйти на рабочий стол,Επιστροφή στο περιβάλλον εργασίας,Masaüstüne Çıkış,Afslut til Skrivebord,Avslutt til skrivebordet,Avsluta till skrivbordet,Sluiten naar bureaublad,Wyjdź do Pulpitu,Poistu työpöydälle,終了してデスクトップへ戻る,退出至桌面,退出至桌面,바탕화면으로 나가기,Odejít na plochu,Kilépés a munkaasztalra,Ieșire către Desktop,ออกสู่ desktop,Изход до работния плот,יציאה לשולחן העבודה,الخروج لسطح المكتب,Izađi na Desktop
MENU_LABEL_GAMEPAD_DISPLAY_NAMES,Joypad display names:,l'indication de nomes de bouton de manette:,,Gamepad Anzeige:,,Nomeação dos controles:,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_LINEAR,Linear,linéaire,,Linear,,Linear,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_NEW_GAME,New Game,Nouvelle partie,Juego nuevo,Neues Spiel,Nuova partita,Novo Jogo,Novo Jogo,Новая игра,Νέο παιχνίδι,Yeni Oyun,Nyt Spil,Nytt Spill,Nytt spel,Nieuw spel,Nowa Gra,Uusi peli,新しいゲーム,新游戏,新游戲,새 게임,Nová hra,Új játék,Joc nou,เริ่มเกมใหม่,Нова игра,משחק חדש,لعبة جديدة,Nova Igra
MENU_LABEL_NINTENDO_DS,Nintendo DS,Nintendo DS,,Nintendo DS,,Nintendo DS,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_NOT_READY_ELLIPSIS,Not ready...,N'est pas prête...,,Nicht bereit...,,Não preparado…,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_NUMBERS,Numbers,Nombres,,Zahlen,,Números,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_NUM_1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_NUM_2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_NUM_3,3,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_NUM_4,4,4,,4,,4,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_OK,Ok,OK,Ok,OK,Ok,Ok,Ok,ОК,ΟΚ,TAMAM,OK,OK,OK,OK,OK,OK,OK,OK,OK,확인,OK,OK,OK,ตกลง,Добре,טוב,موافق,Ok
MENU_LABEL_PAUSE,Pause,Pause,Pausa,Pause,Pausa,Pausar,Pausa,Пауза,Παύση,Durdur,Pause,Pause,Pausa,Pauzeren,Pauza,Pysäytä,ポーズ,暂停,暫停,일시 정지,Pauza,Szünet,Pauză,หยุด,Преустановяване,השהה,إيقاف,Pauza
MENU_LABEL_PAUSED,Paused,En pause,Pausado,Pausiert,In pausa,Pausado,Em Pausa,Приостановлено,Σε παύση,Durduruldu,Pauset,Pauset,Pausat,Gepauzeerd,Pauza,Pysäytetty,ポーズ中,暂停中,暫停中,일시 정지됨,Pozastaveno,Szünetelve,Suspendat,หยุด,Пауза,מושהה,متوقف,Pauzirano
MENU_LABEL_PAUSE_ON_WINDOW_UNFOCUS,Pause on Window Unfocus,Pause en changer de fênetre,,Spiel bei Fensterwechsel pausieren,,Pausar ao Desfocar a Janela,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_PLAY,Play,Jouer,Jugar,Spielen,Gioca,Jogar,Jogar,Играть,Παίξε,Oyna,Spil,Spill,Spela,Spelen,Zagraj,Pelaa,プレイ,开始,開始,플레이,Hrát,Játszás,Joacă,เล่น,Пускане,התחל,لعب,Igraj
MENU_LABEL_PLAYER,Player,Joueur,,Spieler,,Jogador,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_PLAYSTATION,Playstation,Playstation,,Playstation,,Playstation,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_PRESS_ANY_KEY,Press any key,Appuyez sur une touche,Pulsa cualquier tecla,Drücke eine beliebige Taste,Premi un tasto,Pressione qualquer botão,Carregue em qualquer tecla,Нажмите любую клавишу,Πάτα ένα πλήκτρο,Herhangi bir tuşa bas,Tryk en vilkårlig tast,Trykk en knapp,Tryck på valfri knapp,Druk op een knop,Naciśnij dowolny klawisz,Paina mitä tahansa näppäintä,いずれかのキーを押す,按下任意键,按下任意鍵,아무 키나 누르세요,Stiskněte libovolnou klávesu,Nyomj egy gombot,Apasă orice tasta,กดปุ่มใดๆ,Натиснете някакъв клавиш,כדי להתחיל לחץ על אחד מהמקשים,اضغط على أي مفتاح,Pritisnite Bilo Koje Dugme
MENU_LABEL_QUIT,Quit,Quitter,Cerrar,Beenden,Esci,Sair,Sair,Выход,Έξοδος,Oyunu Kapat,Afslut,Avslutt,Avsluta,Stoppen,Wyjdź,Lopeta,終了する,退出,退出,종료,Ukončit hru,Bezárás,Închidere,ออก,Изход,הפסק,خروج,Izaći
MENU_LABEL_READY,Ready!,Prêts!,,Fertig!,,Pronto!,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_RESUME,Resume,Continue,,Fortfahren,,Resumir,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_RETURN_MENU,Return to Main Menu,Retourner au menu principal,Volver al menú principal,Zurück zum Hauptmenü,Ritorna al menù principale,Retornar ao Menu Inicial,Regressar ao Menu Principal,Вернуться в главное меню,Επιστροφή στο Κεντρικό Μενού,Ana Menü'ye geri dön,Tilbage til hovedmenuen,Gå til hoved meny,Återgå till huvudmeny,Terug naar hoofdmenu,Powrót do Menu Głównego,Palaa päävalikkoon,メインメニューに戻る,返回至主界面,返回至主界面,메인 메뉴로 돌아가기,Vrátit se na hlavní menu,Vissza a főmenüre,Întoarcere către meniul principal,กลับไปเมนูหลัก,Обратно към главното меню,חזור למסך הראשי,عودة إلى القائمة الرئيسية,Natrag na Glavni Meni
MENU_LABEL_REWARD_SYSTEM,Reward System:,Le système de la récompense,,Belohnungs System:,,Sistema de Recompensa:,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_SELECT_BOARD,Select board,Choise un damier,,Spielbrett auswählen:,,Selecione o tabuleiro,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_SELECT_CHARACTER_PLAYER_1,Select a character for Player 1,Choise un caractère pour joueur 1,,Wähle einen Charakter für Spieler 1,,Selecione a personagem para o Jogador 1,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_SELECT_CHARACTER_PLAYER_2,Select a character for Player 2,Choise un caractère pour joueur 2,,Wähle einen Charakter für Spieler 2,,Selecione a personagem para o Jogador 2,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_SELECT_CHARACTER_PLAYER_3,Select a character for Player 3,Choise un caractère pour joueur 3,,Wähle einen Charakter für Spieler 3,,Selecione a personagem para o Jogador 3,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_SELECT_CHARACTER_PLAYER_4,Select a character for Player 4,Choise un caractère pour joueur 4,,Wähle einen Charakter für Spieler 4,,Selecione a personagem para o Jogador 4,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_SELECT_NUM_PLAYERS,Select amount of players,Choise le nombre des joueurs,,Spieleranzahl auswählen,,Selecione o número de jogadores,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_TITLE,Super Tux Party,Super Tux Party,,Super Tux Party,,Super Tux Party,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_TRY,Try,Tente,,Versuchen,,Tentar,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_WINNER_TAKES_ALL,Winner takes all,Le vainqueur gagnes tout,,Der Sieger nimmt alles,,Vencedor leva tudo,,,,,,,,,,,,,,,,,,,,,,
MENU_LABEL_XBOX,XBOX,XBOX,,XBox,,XBOX,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS,Options,Options,Opciones,Optionen,Opzioni,Opções,Opções,Настройки,Επιλογές,Ayarlar,Indstillinger,Innstillinger,Inställningar,Instellingen,Ustawienia,Asetukset,設定,设置,設置,설정,Nastavení,Beállítások,Preferințe,ตัวเลือก,Настройки,אפשרויות,خيارات,Opcije
MENU_OPTIONS_AUDIO,Audio,Audio,,Audio,,Áudio,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS_CONTROLS,Controls,Contrôles,Controles,Tastenbelegung,Comandi,Controles,Controlos,Управление,Χειρισμός,Kontroller,Tastindstillinger,Kontroller,Kontroller,Besturing,Sterowanie,Ohjausasetukset,操作方法,操作模式,操作模式,조작 방식,Ovládání,Irányítás,Controale,การบังคับ,Управление,מקשים,مفاتيح التحكم,kontrole
MENU_OPTIONS_EFFECTS,Effects,Effets d'audio,,Effekte,,Efeitos,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS_FRAME_CAP,Frame Cap,Limite d'IPS,,Bildwiederholungsrate,,Limite de Frames,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS_FULLSCREEN,Fullscreen,Plein écran,Pantalla completa,Vollbild,Schermo intero,Tela cheia,Ecrã inteiro,Во весь экран,Πλήρης οθόνη,Tam ekran,Fuld skærm,Fullskjerm,Fullskärm,Volledig scherm,Pełny ekran,Kokoruutu,フルスクリーン,全屏,全屏,전체화면,Celá obrazovka,Teljes képernyő,Ecran complet,เต็มหน้าจอ,На цял екран,מסך מלא,تكبير الشاشة Fullscreen,Cijeli Zaslon
MENU_OPTIONS_LANGUAGE,Language,langue,,Sprache,,Linguagem,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS_MASTER,Master,Audio générale,,Hauptlautstärke,,Mestre,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS_MISC,Misc.,Divers,Otros,Verschiedenes,Vari,Diversos,Diversos,Разное,Αλλα,Çeşitli,Diverse,Diverse,Blandat,Overig,Różne,Sekalaiset,その他,其它,其它,기타,Různé,Egyéb,Altele,เบ็ดเตล็ด,Разни,משחק שונות,منوّع,Razno
MENU_OPTIONS_MUSIC,Music,Musique,Música,Musik,Musica,Música,Música,Музыка,Μουσική,Müzik,Musik,Musikk,Musik,Muziek,Muzyka,Musiikki,音楽,音乐,音樂,음악,Hudba,Zene,Muzică,เพลง,Музика,מוזיקה,الموسيقى,Muzika
MENU_OPTIONS_MUTE_ON_WINDOW_UNFOCUS,Mute on Window Unfocus,Muet en changer de fênetre,,Bei Fensterwechsel stummschalten,,Mude ao Desfocar a Janela,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS_SYSTEM_DEFAULT,System Default,défaut du système,,System Standard,,Padrão do Sistema,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS_VISUAL,Visual,Vidéo,,Aussehen,,Visual,,,,,,,,,,,,,,,,,,,,,,
MENU_OPTIONS_VSYNC,V-sync,VSync,V-sync,Bildschirmsynchronisation,VSync,Vsync,Vsync,Вертикальная синхронизация,Vsync,Dikey Senkronizasyon (Vsync),Vsync,Vsync,Vsync,Vsync,Vsync,Vsync,垂直同期,垂直同步,垂直同步,수직 동기,Vertikální synchronizace obrazu,V-sync,V-sync,V-sync,Отвесна синхронизация,Vsync,تزامن اللقطات مع الشاشة V-sync,V-sync
